"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Contract ID","Agency Contract ID","Contract Status","Contracting Agency ID","Contract Number (PIID)","IDV PIID","IDV Agency ID","Solicitation ID (Agency)","Modular Approaches / Contracting","EVM Required","Match found in USAspending","Vendor Name (USAspending)","Solicitation ID (USAspending)","Action Obligation Amount (In $ million) (USAspending)","Type of Contract (USAspending)","Performance Based Contract (USAspending)","Contract Start Date (USAspending)","Contract End Date (USAspending)","Contract Compete (USAspending)","Contract Description (USAspending)","Base Contract ID (USAspending)","Identifying Agency ID (USAspending)","Transaction Number (USAspending)","Timestamp (Contract)","Timestamp (Base Contract)"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50004,,Awarded,"	3600",VA11815F0017,VA11811D0052,"	3600",,yes,no,Yes,"INSIGNIA TECHNOLOGY SERVICES, LLC",,11.286410,"Firm Fixed Price",N,2015-02-25,2016-03-22,N,"IGF::OT::IGF - VRM IAM ACCESS SERVICES DEVELOPMENT AND INTEGRATION SUPPORT SERVICES",225028,"	3600","	0","2016-02-02 20:55:55","2016-02-05 04:42:30"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50005,,Awarded,"	3600",VA11815F0017,VA11811D0052,"	3600",,yes,no,Yes,"INSIGNIA TECHNOLOGY SERVICES, LLC",,11.286410,"Firm Fixed Price",N,2015-02-25,2016-03-22,N,"IGF::OT::IGF - VRM IAM ACCESS SERVICES DEVELOPMENT AND INTEGRATION SUPPORT SERVICES",225029,"	3600","	0","2016-02-02 20:55:55","2016-02-05 04:42:30"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50006,,Awarded,"	3600",VA11810050038,VA11811D1005,"	3600",,yes,no,Yes,"TECHNATOMY CORPORATION",,2.784718,"Firm Fixed Price",N,2014-08-29,2016-03-01,N,"IGF::OT::IGF - IDENTITY AND ACCESS MANAGEMENT PLATFORM AS A SERVICE SUPPORT",225030,"	3600","	0","2016-02-02 20:55:55","2016-02-05 04:42:51"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50007,,Awarded,"	3600",VA11814F0011,VA11811D0052,"	3600",,yes,no,Yes,"INSIGNIA TECHNOLOGY SERVICES, LLC",,9.648865,"Firm Fixed Price",N,2014-03-11,2016-03-10,N,"IGF::OT::IGF CRM PROGRAM APPLICATION AND OPERATIONAL MAINTENANCE",224883,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:20:51"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50008,,Awarded,"	3600",VA11814F0011,VA11811D0052,"	3600",,yes,no,Yes,"INSIGNIA TECHNOLOGY SERVICES, LLC",,9.648865,"Firm Fixed Price",N,2014-03-11,2016-03-10,N,"IGF::OT::IGF CRM PROGRAM APPLICATION AND OPERATIONAL MAINTENANCE",224884,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:20:51"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50009,,Awarded,"	3600",VA11814F0013,VA11811D0052,"	3600",,yes,no,No,,,,,,,,,,,,,"2016-02-02 20:55:55",
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50010,,Awarded,"	3600",VA11815F0011,VA11811D0053,"	3600",,yes,no,Yes,"SYSTEMS RESEARCH AND APPLICATIONS CORPORATION",,34.205561,,N,2015-07-17,2017-07-16,N,"IGF::OT::IGF - VRM IDIQ EVSS PORTAL PLATFORM DEVELOPMENT - PHASE II TASK ORDER.",224885,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:21:35"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50011,,Awarded,"	3600",VA11814F0012,VA11811D0052,"	3600",,yes,no,Yes,"INSIGNIA TECHNOLOGY SERVICES, LLC",,19.791892,"Firm Fixed Price",N,2014-03-17,2016-03-23,N,"IGF::OT::IGF  MASTER VETERAN INDEX - DEVELOPMENT AND INTEGRATION.",224886,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:21:53"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50012,,Awarded,"	3600",VA11814F0012,VA11811D0052,"	3600",,yes,no,Yes,"INSIGNIA TECHNOLOGY SERVICES, LLC",,19.791892,"Firm Fixed Price",N,2014-03-17,2016-03-23,N,"IGF::OT::IGF  MASTER VETERAN INDEX - DEVELOPMENT AND INTEGRATION.",224887,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:21:53"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50013,,Awarded,"	3600",VA11815F0013,VA11811D0053,"	3600",,yes,no,Yes,"SYSTEMS RESEARCH AND APPLICATIONS CORPORATION",,1.963376,,N,2015-09-25,2017-03-24,N,"IGF::OT::IGF TASK ORDER FOR ENROLLMENT SYSTEMS VETERANS CHOICE",224888,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:22:19"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50014,,Awarded,"	3600",VA11815F0010,VA11811D0053,"	3600",,yes,no,Yes,"SYSTEMS RESEARCH AND APPLICATIONS CORPORATION",,13.249647,,N,2015-03-31,2016-07-03,N,"IGF::OT::IGF CUSTOMER GATEWAY SERVICES TASK ORDER",224889,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:22:37"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50015,,Awarded,"	3600",VA11810030060,VA11811D1003,"	3600",,yes,no,Yes,"7 DELTA INC.,MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",,2.439042,"Firm Fixed Price",N,2014-04-01,2016-03-31,N,"""IGF::OT::IGF"" THE CONTRACTOR SHALL PROVIDE TIER 1 AND TIER 2 HELP DESK SUPPORT SERVICES TO ACCESS SERVICES (ACS).",224890,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:23:08"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50016,,Awarded,"	3600",VA11815F0128,NNG07DA46B,"	8000",,yes,no,Yes,"ALVAREZ & ASSOCIATES, LLC",,0.176103,,N,2015-04-07,2016-04-06,N,"IGF::OT::IGF - SPLUNK",224891,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:23:32"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50017,,Awarded,"	3600",VA11814F0112,NNG07DA50B,"	8000",,yes,no,Yes,"COUNTERTRADE PRODUCTS, INC.",,0.194946,"Firm Fixed Price",N,2014-04-09,2018-04-08,N,"IGF::OT::IGF THE TASK ORDER WAS ISSUED ON THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) SOLUTIONS FOR ENTERPRISE-WIDE PROCUREMENT (SEWP) GOVERNMENT-WIDE ACQUISITION CONTRACT (GWAC) WEBSITE FOR RADIANTLOGIC RADIANTONE VIRTUAL DIRECTOR SERVER (VDS) CONTEXT EDITION PRODUCTION  LICENSES AND MAINTENANCE AND SUPPORT PREMIUM RADIANTLOGIC RADIANTONE VDS CONTEXT EDITION-NON PRODUCTION LICENSES FOR THE DEPARTMENT OF VETERANS AFFAIRS (VA) OFFICE OF INFORMATION TECHNOLOGY PRODUCT DEVELOPMENT (OIT-PD)",224892,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:23:53"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50018,,Awarded,"	3600",VA11810080081,VA11811D1008,"	3600",,yes,no,Yes,"BOOZ ALLEN HAMILTON INC.",,13.040949,,N,2015-08-18,2018-09-24,N,"IGF::OT::IGF - OTHER FUNCTION - T4 TASK ORDER FOR CUSTOMER RELATIONSHIP MANAGEMENT (CRM) PROGRAM DEVELOPMENT AND OPERATION AND MAINTENANCE (O&M) SUPPORT.",224893,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:24:17"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50019,,Awarded,"	3600",VA11815F0010,VA11811D0053,"	3600",,yes,no,Yes,"SYSTEMS RESEARCH AND APPLICATIONS CORPORATION",,13.249647,,N,2015-03-31,2016-07-03,N,"IGF::OT::IGF CUSTOMER GATEWAY SERVICES TASK ORDER",224894,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:24:17"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50020,,Awarded,"	3600",VA11814F0014,VA11811D0052,"	3600",,yes,no,Yes,"INSIGNIA TECHNOLOGY SERVICES, LLC",,2.668752,"Firm Fixed Price",N,2014-05-05,2017-05-04,N,"IGF::OT::IGF THIS TASK ORDER WAS ISSUED AS 100% SMALL BUSINESS SET-ASIDE UNDER THE BASIC INDEFINITE DELIVERY INDEFINITE QUANTITY (IDIQ) VRM INFORMATION TECHNOLOGY SOLUTIONS AND SUPPORT SERVICES (ITSS) CONTRACT TO PROVIDE THE DEPARTMENT OF VETERANS AFFAIRS (VA), OFFICE OF INFORMATION&TECHNOLOGY (OIT) - PRODUCT DEVELOPMENT (PD) VRM IAM MANAGEMENT AND SYSTEM ADMINISTRATION SUPPORT FOR THE FOLLOWING FIVE (5) ENVIRONMENTS: IAM DEV, SQA, PRE-PROD, PROD AND DISASTER RECOVERY (DR).  VA THIS AWARD IS A FIRM-FIXED PRICE (FFP) ORDER.",224895,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:25:57"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50021,,Awarded,"	3600",VA11810010043,VA11811D1001,"	3600",,yes,no,Yes,"LONGVIEW INTERNATIONAL TECHNOLOGY SOLUTIONS, INC.",,19.002864,,N,2015-05-08,2018-05-10,N,"VETERANS RELATIONSHIP MANAGEMENT (VRM) PROGRAM MANAGEMENT OFFICE (PMO) ADVISORY AND ASSISTANCE (A&A) SUPPORT IGF::OT::IGF",224896,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:26:54"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50022,,Awarded,"	3600",VA11810010043,VA11811D1001,"	3600",,yes,no,Yes,"LONGVIEW INTERNATIONAL TECHNOLOGY SOLUTIONS, INC.",,19.002864,,N,2015-05-08,2018-05-10,N,"VETERANS RELATIONSHIP MANAGEMENT (VRM) PROGRAM MANAGEMENT OFFICE (PMO) ADVISORY AND ASSISTANCE (A&A) SUPPORT IGF::OT::IGF",224897,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:26:55"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50023,,Awarded,"	3600",VA11814F0212,NNG07DA46B,"	8000",,yes,no,Yes,"ALVAREZ & ASSOCIATES, LLC",,0.921741,"Firm Fixed Price",N,2014-05-13,2018-05-12,N,"IGF::OT::IGF THE TASK ORDER WAS ISSUED ON THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) SOLUTIONS FOR ENTERPRISE-WIDE PROCUREMENT (SEWP) GOVERNMENT-WIDE ACQUISITION CONTRACTS (GWAC) FOR AXIMOMATICS SOFTWARE LICENSES AND SUPPORT.",224898,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:27:50"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50024,,Awarded,"	3600",VA11810000028,VA11811D1000,"	3600",,yes,no,Yes,"SYSTEMS MADE SIMPLE, INC.",,8.446986,"Firm Fixed Price",N,2014-06-02,2017-06-01,N,"IGF::OT::IGF TRANSFORMATION TWENTY-ONE TOTAL TECHNOLOGY (T4) TASK ORDER FOR BENEFITS GATEWAY SERVICES (BGS) SYSTEMS ENGINEERING AND SOFTWARE DEVELOPMENT",224899,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:28:11"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50025,,Awarded,"	3600",VA11810100038,VA11811D1010,"	3600",,yes,no,Yes,"SYSTEMS RESEARCH AND APPLICATIONS CORPORATION",,0.459130,,N,2015-09-16,2016-06-15,N,"COMMON SECURITY SERVICES CONVERSION IGF::OT::IGF",224900,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:28:27"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50026,,Awarded,"	3600",VA11816F0824,NNG15SD27B,"	8000",,yes,no,Yes,"V3GATE, LLC",,1.923750,,N,2015-12-24,2018-06-23,N,"IGF::OT::IGF - CRM ADDITIONAL EGAIN KNOWLEDGE MANAGEMENT WEB SESSION LICENSES",225319,"	3600","	0","2016-02-02 20:55:55","2016-04-06 20:45:45"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50027,,Awarded,"	3600",VA11815F0011,VA11811D0053,"	3600",,yes,no,Yes,"SYSTEMS RESEARCH AND APPLICATIONS CORPORATION",,34.205561,,N,2015-07-17,2017-07-16,N,"IGF::OT::IGF - VRM IDIQ EVSS PORTAL PLATFORM DEVELOPMENT - PHASE II TASK ORDER.",224901,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:28:46"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50028,,Awarded,"	3600",VA11810080076,VA11811D1008,"	3600",,yes,no,Yes,"BOOZ ALLEN HAMILTON INC.",,5.619913,,N,2015-07-27,2020-07-26,N,"VRM CRM HOSTING IGF::OT::IGF",224902,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:29:07"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50029,,Awarded,"	3600",VA11814F0096,GS35F0513W,"	8000",,yes,no,Yes,"ARX INC.",,0.334141,"Firm Fixed Price",N,2014-03-07,2017-07-31,N,"IGF::OT::IGF THIS TASK ORDER WILL PROVIDE CONTINUE MAINTENANCE SUPPORT OF COSIGN CENTRAL DEVICES IN SUPPORT OF THE DEPARTMENT OF VETERANS AFFAIRS, VETERANS RELATIONSHIP MANAGEMENT (VRM) AUTHENTICATION PROJECT.",224903,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:29:27"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50030,,Awarded,"	3600",VA11815F0250,NNG15SD03B,"	8000",,yes,no,Yes,"PREMIER TECHNICAL SERVICES CORPORATION",,0.191995,,N,2015-08-03,2016-08-02,N,"IGF::OT::IGF AN ORDER IS BEING PLACED UNDER THE TERMS AND CONDITIONS OF NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) SOLUTIONS FOR ENTERPRISE-WIDE PROCUREMENT (SEWP) V GOVERNMENTWIDE ACQUISITION CONTRACT (GWAC) TO SATISFY DEPARTMENT OF VETERANS AFFAIRS (VA) REQUIREMENT FOR IBM SUBJECT MATTER SOFTWARE INSTALLATION SERVICES; WHICH INCLUDES ON-SITE TECHNICAL CONSULTING, SOFTWARE IMPLEMENTATION SUPPORT, AND SOFTWARE CONFIGURATION SUPPORT FOR THE IBM INFOSPHERE MASTER DATA MANAGEMENT SOFTWARE CURRENTLY OWNED BY VA. THIS REQUIREMENT IS IN SUPPORT OF VA OFFICE OF INFORMATION&TECHNOLOGY, PRODUCT DEVELOPMENT, IDENTITY AND ACCESS MANAGEMENT EFFORTS.",224904,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:29:48"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50031,,Awarded,"	3600",VA11814F0015,VA11811D0052,"	8000",,yes,no,Yes,"INSIGNIA TECHNOLOGY SERVICES, LLC",,2.130850,"Firm Fixed Price",N,2014-08-08,2016-04-07,N,"IGF::OT::IGF THE PURPOSE OF THIS TASK ORDER (TO) IS TO DEVELOP ENHANCEMENTS TO MEET REQUIREMENTS ALREADY IDENTIFIED AND APPROVED BY THE INTEGRATED PROJECT TEAM (IPT).  THESE ENHANCEMENT ACTIVITIES INCLUDE SOFTWARE DEVELOPMENT, SYSTEM TESTING, INTEGRATION TESTING, HARDWARE CONFIGURATION, SOFTWARE CONFIGURATION, SYSTEM ADMINISTRATION, DEFECT REPAIR, AND SYSTEM DEPLOYMENT ON A CONTINUOUS BASIS IN SUPPORT OF THE VETERAN HEALTH IDENTIFICATION CARD (VHIC) PROGRAM.",224905,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:30:08"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50032,,Awarded,"	3600",VA11810000031,VA11811D1000,"	3600",,yes,no,Yes,"SYSTEMS MADE SIMPLE, INC.",,5.358050,"Time and Materials",N,2014-08-22,2017-08-24,N,"IGF::OT::IGF - OTHER FUNCTION - TASK ORDER AWARD AGAINST AN IDIQ CONTRACT FOR TECHNICAL INTEGRATION SERVICES.",224906,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:30:30"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50033,,Awarded,"	3600",VA11812F0147,GS35F0629R,"	4730",,yes,no,Yes,"MICROTECH LIMITED LIABILITY COMPANY,MICROTECHNOLOGIES LLC",,529.729421,"Firm Fixed Price",N,2012-04-01,2017-03-31,N,"MICROSOFT ENTERPRISE AGREEMENT FOR MICROSOFT PRODUCTS AND SERVICES IGF::OT::IGF",224907,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:30:54"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50034,,Awarded,"	3600",VA11815F0305,NNG15SD00B,"	8000",,yes,no,Yes,"BLUE TECH INC.",VA118-15-Q-0308,0.072624,,N,2015-08-29,2016-08-28,N,"IGF::OT::IGF BRAND NAME ALTOVA MISSIONKIT SOFTWARE LICENSES AND MAINTENANCE",224908,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:31:18"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50035,,Awarded,"	3600",VA11812F0147,GS35F0629R,"	4730",,yes,no,Yes,"MICROTECH LIMITED LIABILITY COMPANY,MICROTECHNOLOGIES LLC",,529.729421,"Firm Fixed Price",N,2012-04-01,2017-03-31,N,"MICROSOFT ENTERPRISE AGREEMENT FOR MICROSOFT PRODUCTS AND SERVICES IGF::OT::IGF",224909,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:31:19"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50036,,Awarded,"	3600",VA11814F0009,VA11811D0053,"	3600",,yes,no,Yes,"SYSTEMS RESEARCH AND APPLICATIONS CORPORATION",,2.604301,"Firm Fixed Price",N,2014-09-06,2017-09-05,N,"IGF::OT::IGF TASK ORDER ISSUED UNDER THE DEPARTMENT OF VETERANS AFFAIRS (VA), VETERANS RELATIONSHIP MANAGEMENT INFORMATION TECHNOLOGY SOLUTIONS AND SUPPORT SERVICES INDEFINITE DELIVERY INDEFINITE QUANTITY (IDIQ)SHALL PROVIDE FOR REMOTE IDENTITY PROOFING AND CREDENTIAL ISSUANCE SERVICES.",224910,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:31:47"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50037,,Awarded,"	3600",VA11815F0012,VA11811D0053,"	3600",,yes,no,Yes,"SYSTEMS RESEARCH AND APPLICATIONS CORPORATION",,1.553976,,N,2015-09-13,2017-12-12,N,"IGF::OT::IGF THIS EFFORT IS TO PROVIDE POST DEVELOPMENT SOFTWARE SUPPORT INCLUSIVE OF DEFECT REPAIR, MANAGEMENT, TRAINING, TESTING, DOCUMENTATION, AND SOFTWARE SUSTAINMENT FOR THE DEPARTMENT OF VETERANS AFFAIRS ENTERPRISE HEALTH BENEFITS DETERMINATION PROJECTS INCLUSIVE OF ENROLLMENT SYSTEM VETERANS CHOICE AND CAMP LEJEUNE-VETERANS.",225031,"	3600","	0","2016-02-02 20:55:55","2016-02-05 04:43:53"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50038,,Awarded,"	3600",VA11814F0260,NNG07DA43B,"	8000",,yes,no,Yes,"FEDSTORE CORPORATION",,0.533579,"Firm Fixed Price",N,2014-09-14,2016-09-15,N,"IGF::OT::IGF IBM SOA ESB RENEWAL",225032,"	3600","	0","2016-02-02 20:55:55","2016-02-05 04:44:13"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50039,,Awarded,"	3600",VA11813F0437,NNG07DA46B,"	8000",,yes,no,Yes,"ALVAREZ & ASSOCIATES, LLC",,1.016052,"Firm Fixed Price",N,2013-09-18,2016-09-17,N,"IDENTITYIQ ROLE COMPLIANCE SOFTWARE IN SUPPORT OF INTEGRATED ELECTRONIC HEALTH RECORD ACCESS MANAGEMENT EFFORTS.  IGF::OT::IGF",225033,"	3600","	0","2016-02-02 20:55:55","2016-02-05 04:44:35"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50040,,Awarded,"	3600",VA11813F0437,NNG07DA46B,"	8000",,yes,no,Yes,"ALVAREZ & ASSOCIATES, LLC",,1.016052,"Firm Fixed Price",N,2013-09-18,2016-09-17,N,"IDENTITYIQ ROLE COMPLIANCE SOFTWARE IN SUPPORT OF INTEGRATED ELECTRONIC HEALTH RECORD ACCESS MANAGEMENT EFFORTS.  IGF::OT::IGF",225034,"	3600","	0","2016-02-02 20:55:55","2016-02-05 04:44:35"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50041,,Awarded,"	3600",VA11814F0002,VA11811D0054,"	3600",,yes,no,Yes,"VETERANS ENTERPRISE TECHNOLOGY SOLUTIONS, INC.",,2.919555,"Firm Fixed Price",N,2014-09-22,2017-09-21,N,"IGF::OT::IGF - IDENTITY VERIFICATION TASK ORDER",225035,"	3600","	0","2016-02-02 20:55:55","2016-02-05 04:45:01"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50042,,Awarded,"	3600",VA11815F0528,NNG15SD21B,"	8000",,yes,no,Yes,"FEDSTORE CORPORATION",,0.092989,,N,2015-09-22,2016-09-22,N,"IGF::OT::IGF MCAFEE SOFTWARE",225036,"	3600","	0","2016-02-02 20:55:55","2016-02-05 04:45:22"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50043,,Awarded,"	3600",VA11810080081,VA11811D1008,"	3600",,yes,no,Yes,"BOOZ ALLEN HAMILTON INC.",,13.040949,,N,2015-08-18,2018-09-24,N,"IGF::OT::IGF - OTHER FUNCTION - T4 TASK ORDER FOR CUSTOMER RELATIONSHIP MANAGEMENT (CRM) PROGRAM DEVELOPMENT AND OPERATION AND MAINTENANCE (O&M) SUPPORT.",224911,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:43:50"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50044,,Awarded,"	3600",VA11810080081,VA11811D1008,"	3600",,yes,no,Yes,"BOOZ ALLEN HAMILTON INC.",,13.040949,,N,2015-08-18,2018-09-24,N,"IGF::OT::IGF - OTHER FUNCTION - T4 TASK ORDER FOR CUSTOMER RELATIONSHIP MANAGEMENT (CRM) PROGRAM DEVELOPMENT AND OPERATION AND MAINTENANCE (O&M) SUPPORT.",224912,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:43:50"
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50045,,Awarded,"	3600",VA11810080081,VA11811D1008,"	3600",,yes,no,Yes,"BOOZ ALLEN HAMILTON INC.",,13.040949,,N,2015-08-18,2018-09-24,N,"IGF::OT::IGF - OTHER FUNCTION - T4 TASK ORDER FOR CUSTOMER RELATIONSHIP MANAGEMENT (CRM) PROGRAM DEVELOPMENT AND OPERATION AND MAINTENANCE (O&M) SUPPORT.",224913,"	3600","	0","2016-02-02 20:55:55","2016-02-03 07:43:50"
